2024-05-21 17:00:50 | INFO | model_worker | Loading the model ['Llama-2-7b-chat-hf'] on worker c9057291, worker type: BigDLLLM worker...
2024-05-21 17:00:50 | INFO | model_worker | Loading the model ['Llama-2-7b-chat-hf'] on worker c9057291, worker type: BigDLLLM worker...
2024-05-21 17:00:50 | INFO | model_worker | Using low bit format: sym_int4, device: cpu
2024-05-21 17:00:50 | INFO | model_worker | Using low bit format: sym_int4, device: cpu
2024-05-21 17:00:50 | ERROR | stderr | /root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/huggingface_hub/file_download.py:1132: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
2024-05-21 17:00:50 | ERROR | stderr | /root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/huggingface_hub/file_download.py:1132: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
2024-05-21 17:00:50 | ERROR | stderr |   warnings.warn(
2024-05-21 17:00:50 | ERROR | stderr |   warnings.warn(
2024-05-21 17:00:52 | ERROR | stderr | Traceback (most recent call last):
2024-05-21 17:00:52 | ERROR | stderr | Traceback (most recent call last):
2024-05-21 17:00:52 | ERROR | stderr |   File "/root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/huggingface_hub/utils/_errors.py", line 304, in hf_raise_for_status
2024-05-21 17:00:52 | ERROR | stderr |   File "/root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/huggingface_hub/utils/_errors.py", line 304, in hf_raise_for_status
2024-05-21 17:00:52 | ERROR | stderr |     response.raise_for_status()
2024-05-21 17:00:52 | ERROR | stderr |     response.raise_for_status()
2024-05-21 17:00:52 | ERROR | stderr |   File "/root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/requests/models.py", line 1021, in raise_for_status
2024-05-21 17:00:52 | ERROR | stderr |   File "/root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/requests/models.py", line 1021, in raise_for_status
2024-05-21 17:00:52 | ERROR | stderr |     raise HTTPError(http_error_msg, response=self)
2024-05-21 17:00:52 | ERROR | stderr |     raise HTTPError(http_error_msg, response=self)
2024-05-21 17:00:52 | ERROR | stderr | requests.exceptions.HTTPError: 401 Client Error: Unauthorized for url: https://huggingface.co/Llama-2-7b-chat-hf/resolve/main/tokenizer_config.json
2024-05-21 17:00:52 | ERROR | stderr | requests.exceptions.HTTPError: 401 Client Error: Unauthorized for url: https://huggingface.co/Llama-2-7b-chat-hf/resolve/main/tokenizer_config.json
2024-05-21 17:00:52 | ERROR | stderr | 
2024-05-21 17:00:52 | ERROR | stderr | 
2024-05-21 17:00:52 | ERROR | stderr | The above exception was the direct cause of the following exception:
2024-05-21 17:00:52 | ERROR | stderr | The above exception was the direct cause of the following exception:
2024-05-21 17:00:52 | ERROR | stderr | 
2024-05-21 17:00:52 | ERROR | stderr | 
2024-05-21 17:00:52 | ERROR | stderr | Traceback (most recent call last):
2024-05-21 17:00:52 | ERROR | stderr | Traceback (most recent call last):
2024-05-21 17:00:52 | ERROR | stderr |   File "/root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/transformers/utils/hub.py", line 385, in cached_file
2024-05-21 17:00:52 | ERROR | stderr |   File "/root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/transformers/utils/hub.py", line 385, in cached_file
2024-05-21 17:00:52 | ERROR | stderr |     resolved_file = hf_hub_download(
2024-05-21 17:00:52 | ERROR | stderr |     resolved_file = hf_hub_download(
2024-05-21 17:00:52 | ERROR | stderr |                     ^^^^^^^^^^^^^^^^
2024-05-21 17:00:52 | ERROR | stderr |                     ^^^^^^^^^^^^^^^^
2024-05-21 17:00:52 | ERROR | stderr |   File "/root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/huggingface_hub/utils/_validators.py", line 114, in _inner_fn
2024-05-21 17:00:52 | ERROR | stderr |   File "/root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/huggingface_hub/utils/_validators.py", line 114, in _inner_fn
2024-05-21 17:00:52 | ERROR | stderr |     return fn(*args, **kwargs)
2024-05-21 17:00:52 | ERROR | stderr |     return fn(*args, **kwargs)
2024-05-21 17:00:52 | ERROR | stderr |            ^^^^^^^^^^^^^^^^^^^
2024-05-21 17:00:52 | ERROR | stderr |            ^^^^^^^^^^^^^^^^^^^
2024-05-21 17:00:52 | ERROR | stderr |   File "/root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/huggingface_hub/file_download.py", line 1221, in hf_hub_download
2024-05-21 17:00:52 | ERROR | stderr |   File "/root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/huggingface_hub/file_download.py", line 1221, in hf_hub_download
2024-05-21 17:00:52 | ERROR | stderr |     return _hf_hub_download_to_cache_dir(
2024-05-21 17:00:52 | ERROR | stderr |     return _hf_hub_download_to_cache_dir(
2024-05-21 17:00:52 | ERROR | stderr |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2024-05-21 17:00:52 | ERROR | stderr |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2024-05-21 17:00:52 | ERROR | stderr |   File "/root/anaconda3/envs/zehua-llm/lib/python3.11/site-packages/huggingface_hub/file_download.py", line 1325, in _hf_hub_download_to_cache_dir
